display,id,object_type,natural_slug,log_level,grouping,message,log_object,absolute_url,job_result__id,created
The hard time limit of 1200.0 seconds is less than or equal to the soft time limit of 1200.0 seconds. This job will fail silently after 1200.0 seconds.,70ed66dd-c7cc-43a3-afa8-a401bdb8b295,extras.joblogentry,unknown,warning,initialization,The hard time limit of 1200.0 seconds is less than or equal to the soft time limit of 1200.0 seconds. This job will fail silently after 1200.0 seconds.,IPFabric ⟹ Nautobot,/extras/jobs/2bcda95a-334b-4722-b3b4-ceaeabe01fd9/,1921a5c6-c07a-4fef-a752-30c446267e77,2026-04-20T16:34:01.092963+02:00
Running job,4d25af17-2e4b-43e0-8094-a3c6a98e8e96,extras.joblogentry,unknown,info,initialization,Running job,IPFabric ⟹ Nautobot,/extras/jobs/2bcda95a-334b-4722-b3b4-ceaeabe01fd9/,1921a5c6-c07a-4fef-a752-30c446267e77,2026-04-20T16:34:01.134052+02:00
"Starting job with the following options: `Snapshot_id`: a3baa22b-1309-4b63-9224-e5d481fb8adf.`Debug`: False, `Dry Run`: False, `Safe Delete Mode`: True, `Sync Tagged Only`: False, `Location Filter`: None",bc5bd41c-c598-4372-8927-e73bbc2e8b1c,extras.joblogentry,unknown,info,sync_data,"Starting job with the following options: `Snapshot_id`: a3baa22b-1309-4b63-9224-e5d481fb8adf.`Debug`: False, `Dry Run`: False, `Safe Delete Mode`: True, `Sync Tagged Only`: False, `Location Filter`: None",,,1921a5c6-c07a-4fef-a752-30c446267e77,2026-04-20T16:34:05.273403+02:00
Loading current data from IP Fabric...,9a62d2f0-b0b8-40f2-a88b-4a0a3dee212e,extras.joblogentry,unknown,info,sync_data,Loading current data from IP Fabric...,,,1921a5c6-c07a-4fef-a752-30c446267e77,2026-04-20T16:34:05.279792+02:00
"The locations from config are [{'siteName': '__SSOT_DEVICES__'}, {'siteName': '01 - DATA CENTER'}, {'siteName': '01.2 - CED - 1'}, {'siteName': '01.4 - CED GES'}, {'siteName': '02 - MARANELLO FACTORY'}, {'siteName': '02.1 - PRODUZIONE & OFFICINE'}, {'siteName': '02.1.1 - ATC - AREA TECNOLOGICA CILINDRI'}, {'siteName': '02.1.10 - ESPERIENZE PRODUZIONE'}, {'siteName': '02.2 - UFFICI'}, {'siteName': '02.2.6 - COMMERCIALE'}, {'siteName': '02.2.8 - PALAZZINA STORICA'}, {'siteName': '02.2.12 - ESPERIENZE UFFICI'}, {'siteName': '2.3 - PORTINERIE'}, {'siteName': '02.4 - PARCHEGGI'}, {'siteName': '02.5 - SPECIAL SITES'}, {'siteName': '03 - FORNITORI'}, {'siteName': '03.1 - ARCESE'}, {'siteName': '03.1.1 - ARCESE CAPANNONE SINISTRA'}, {'siteName': '03.3 - DSV - LOGISTICA'}, {'siteName': '03.4 - SPINDOX'}, {'siteName': '03.8 - M&M'}, {'siteName': '04 - STORES'}, {'siteName': '04.4 - ROMA'}, {'siteName': '05 - SUBSIDIARIES'}, {'siteName': '05.1 - EMIRATES ARAB UNITED'}, {'siteName': '05.2 - ENGLAND'}, {'siteName': '05.3 - USA'}, {'siteName': '05.4 - JAPAN'}, {'siteName': '05.5 - AUSTRALIA'}, {'siteName': '05.6 - CHINA'}, {'siteName': '05.7 - DEUTSCHLAND'}, {'siteName': '05.8 - FRANCE'}, {'siteName': '05.10 - ITALY'}, {'siteName': '05.11 - COREA'}, {'siteName': '06 - MUSEI'}, {'siteName': '07 - PISTA RACING'}, {'siteName': '08 - MASERATI'}, {'siteName': '99 - MAGAZZINI'}, {'siteName': '999  - EVENTI'}].",94dcddb1-3437-4fbe-894f-16051e4ee562,extras.joblogentry,unknown,info,load_sites,"The locations from config are [{'siteName': '__SSOT_DEVICES__'}, {'siteName': '01 - DATA CENTER'}, {'siteName': '01.2 - CED - 1'}, {'siteName': '01.4 - CED GES'}, {'siteName': '02 - MARANELLO FACTORY'}, {'siteName': '02.1 - PRODUZIONE & OFFICINE'}, {'siteName': '02.1.1 - ATC - AREA TECNOLOGICA CILINDRI'}, {'siteName': '02.1.10 - ESPERIENZE PRODUZIONE'}, {'siteName': '02.2 - UFFICI'}, {'siteName': '02.2.6 - COMMERCIALE'}, {'siteName': '02.2.8 - PALAZZINA STORICA'}, {'siteName': '02.2.12 - ESPERIENZE UFFICI'}, {'siteName': '2.3 - PORTINERIE'}, {'siteName': '02.4 - PARCHEGGI'}, {'siteName': '02.5 - SPECIAL SITES'}, {'siteName': '03 - FORNITORI'}, {'siteName': '03.1 - ARCESE'}, {'siteName': '03.1.1 - ARCESE CAPANNONE SINISTRA'}, {'siteName': '03.3 - DSV - LOGISTICA'}, {'siteName': '03.4 - SPINDOX'}, {'siteName': '03.8 - M&M'}, {'siteName': '04 - STORES'}, {'siteName': '04.4 - ROMA'}, {'siteName': '05 - SUBSIDIARIES'}, {'siteName': '05.1 - EMIRATES ARAB UNITED'}, {'siteName': '05.2 - ENGLAND'}, {'siteName': '05.3 - USA'}, {'siteName': '05.4 - JAPAN'}, {'siteName': '05.5 - AUSTRALIA'}, {'siteName': '05.6 - CHINA'}, {'siteName': '05.7 - DEUTSCHLAND'}, {'siteName': '05.8 - FRANCE'}, {'siteName': '05.10 - ITALY'}, {'siteName': '05.11 - COREA'}, {'siteName': '06 - MUSEI'}, {'siteName': '07 - PISTA RACING'}, {'siteName': '08 - MASERATI'}, {'siteName': '99 - MAGAZZINI'}, {'siteName': '999  - EVENTI'}].",,,1921a5c6-c07a-4fef-a752-30c446267e77,2026-04-20T16:34:05.880238+02:00
Starting the site hierarchy construction,e69f4ae5-8ff9-432f-b9c2-a6bc8b84fedc,extras.joblogentry,unknown,info,load_sites,Starting the site hierarchy construction,,,1921a5c6-c07a-4fef-a752-30c446267e77,2026-04-20T16:34:05.885090+02:00
Skipping import for device FW1-Mgmt-LAN-1 as its role 'securityManagement' is not in custom_roles.,6b8cbd38-268a-46c6-932b-9d94a22551cd,extras.joblogentry,unknown,info,load,Skipping import for device FW1-Mgmt-LAN-1 as its role 'securityManagement' is not in custom_roles.,,,1921a5c6-c07a-4fef-a752-30c446267e77,2026-04-20T16:34:18.159990+02:00
Skipping import for device fw1-mgmt-1-ha as its role 'securityManagement' is not in custom_roles.,b9888ad6-1934-44e7-9c9b-15156a3aa442,extras.joblogentry,unknown,info,load,Skipping import for device fw1-mgmt-1-ha as its role 'securityManagement' is not in custom_roles.,,,1921a5c6-c07a-4fef-a752-30c446267e77,2026-04-20T16:34:18.163567+02:00
Serial Number is missing or exceeds max length for c3850-APC-NM-2-2. Skipping device import.,e8ed1c53-77f4-4f29-99ad-fadd717b6df2,extras.joblogentry,unknown,warning,load,Serial Number is missing or exceeds max length for c3850-APC-NM-2-2. Skipping device import.,,,1921a5c6-c07a-4fef-a752-30c446267e77,2026-04-20T16:34:18.242680+02:00
Skipping import for device FW1-MGMT-LAN-NM as its role 'securityManagement' is not in custom_roles.,01eaa70b-a72e-46bd-ac3f-1676c6cdc7df,extras.joblogentry,unknown,info,load,Skipping import for device FW1-MGMT-LAN-NM as its role 'securityManagement' is not in custom_roles.,,,1921a5c6-c07a-4fef-a752-30c446267e77,2026-04-20T16:34:18.263193+02:00
