display,id,object_type,natural_slug,log_level,grouping,message,log_object,absolute_url,job_result__id,created
The hard time limit of 7200.0 seconds is less than or equal to the soft time limit of 7200.0 seconds. This job will fail silently after 7200.0 seconds.,b861d756-9f81-44a7-8c6d-5cfc26667f79,extras.joblogentry,unknown,warning,initialization,The hard time limit of 7200.0 seconds is less than or equal to the soft time limit of 7200.0 seconds. This job will fail silently after 7200.0 seconds.,IPFabric ⟹ Nautobot,/extras/jobs/2bcda95a-334b-4722-b3b4-ceaeabe01fd9/,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:10:44.668914+01:00
Running job,31abe7ef-63de-4c6a-bf2d-e49e8c0cc4d4,extras.joblogentry,unknown,info,initialization,Running job,IPFabric ⟹ Nautobot,/extras/jobs/2bcda95a-334b-4722-b3b4-ceaeabe01fd9/,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:10:44.702147+01:00
"Starting job with the following options: `Snapshot_id`: bed08f7f-e8aa-4973-8814-08f6a303eeb8.`Debug`: True, `Dry Run`: False, `Safe Delete Mode`: True, `Sync Tagged Only`: True, `Location Filter`: None",de9d6765-0909-4966-85e2-a647b0970c2b,extras.joblogentry,unknown,info,sync_data,"Starting job with the following options: `Snapshot_id`: bed08f7f-e8aa-4973-8814-08f6a303eeb8.`Debug`: True, `Dry Run`: False, `Safe Delete Mode`: True, `Sync Tagged Only`: True, `Location Filter`: None",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:10:48.548661+01:00
Loading current data from IP Fabric...,10bd64a1-876f-45cd-913e-b54f6b840303,extras.joblogentry,unknown,info,sync_data,Loading current data from IP Fabric...,,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:10:48.553107+01:00
Loading current data from Nautobot...,806fa274-272c-4450-b0d9-f72932da053e,extras.joblogentry,unknown,info,sync_data,Loading current data from Nautobot...,,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:10:59.407498+01:00
Calculating diffs...,2a6e81cf-1df3-463b-9a61-4f206c2215a5,extras.joblogentry,unknown,info,sync_data,Calculating diffs...,,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:11:03.668022+01:00
