display,id,object_type,natural_slug,log_level,grouping,message,log_object,absolute_url,job_result__id,created
The hard time limit of 7200.0 seconds is less than or equal to the soft time limit of 7200.0 seconds. This job will fail silently after 7200.0 seconds.,04414d79-a1f7-49ca-a70b-b1c609070ab3,extras.joblogentry,unknown,warning,initialization,The hard time limit of 7200.0 seconds is less than or equal to the soft time limit of 7200.0 seconds. This job will fail silently after 7200.0 seconds.,IPFabric ⟹ Nautobot,/extras/jobs/2bcda95a-334b-4722-b3b4-ceaeabe01fd9/,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:11:48.701326+01:00
Running job,502fddad-8b0d-4765-8745-77b92afe500b,extras.joblogentry,unknown,info,initialization,Running job,IPFabric ⟹ Nautobot,/extras/jobs/2bcda95a-334b-4722-b3b4-ceaeabe01fd9/,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:11:48.746563+01:00
"Starting job with the following options: `Snapshot_id`: 3a883c59-4582-4b87-8ad6-eb28a184dffb.`Debug`: False, `Dry Run`: False, `Safe Delete Mode`: True, `Sync Tagged Only`: True, `Location Filter`: None",7ecd3cc9-15cf-453e-aab2-daa4715666a2,extras.joblogentry,unknown,info,sync_data,"Starting job with the following options: `Snapshot_id`: 3a883c59-4582-4b87-8ad6-eb28a184dffb.`Debug`: False, `Dry Run`: False, `Safe Delete Mode`: True, `Sync Tagged Only`: True, `Location Filter`: None",,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:11:52.557135+01:00
Loading current data from IP Fabric...,b99cf854-04f4-4e9b-afbc-a0ce40e8d1a2,extras.joblogentry,unknown,info,sync_data,Loading current data from IP Fabric...,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:11:52.562803+01:00
Loading current data from Nautobot...,e733d876-16ed-4095-b6ad-f0e1cafae4c0,extras.joblogentry,unknown,info,sync_data,Loading current data from Nautobot...,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:12:02.893530+01:00
Calculating diffs...,03dbdca7-417f-4328-a4b5-a4ad92322a79,extras.joblogentry,unknown,info,sync_data,Calculating diffs...,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:12:07.304473+01:00
"DiffSync Summary: Create: 1105, Update: 20, Delete: 113, No Change: 895",ed3ea9fe-5fd0-439f-ac4e-714db7999c58,extras.joblogentry,unknown,info,sync_data,"DiffSync Summary: Create: 1105, Update: 20, Delete: 113, No Change: 895",,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:12:07.478480+01:00
Syncing from IP Fabric to Nautobot,0ddc31a1-4633-432a-9198-34ef1ea47f91,extras.joblogentry,unknown,info,sync_data,Syncing from IP Fabric to Nautobot,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:12:07.482162+01:00
"Platform gaia already exists but belongs to Manufacturer Checkpoint, not Check Point. Skipping assignment to avoid validation errors.",4119c395-e507-4ba1-9d31-5a1e4cbceac7,extras.joblogentry,unknown,warning,create_platform_object,"Platform gaia already exists but belongs to Manufacturer Checkpoint, not Check Point. Skipping assignment to avoid validation errors.",,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:12:07.598707+01:00
"Unable to get or create a Platform named gaia, Device named FW-MUSEO-NM will not have a Platform assigned",cf50c266-d751-4916-aac0-f7b8ab1be030,extras.joblogentry,unknown,warning,create,"Unable to get or create a Platform named gaia, Device named FW-MUSEO-NM will not have a Platform assigned",,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:12:07.602134+01:00
"Platform gaia already exists but belongs to Manufacturer Checkpoint, not Check Point. Skipping assignment to avoid validation errors.",c8354260-f3be-45e3-8d9d-e6c686567e73,extras.joblogentry,unknown,warning,create_platform_object,"Platform gaia already exists but belongs to Manufacturer Checkpoint, not Check Point. Skipping assignment to avoid validation errors.",,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:12:09.502638+01:00
"Unable to get or create a Platform named gaia, Device named fw1-interno-nm will not have a Platform assigned",5e9be5c3-3710-4ec6-a110-f7e3eb94101e,extras.joblogentry,unknown,warning,create,"Unable to get or create a Platform named gaia, Device named fw1-interno-nm will not have a Platform assigned",,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:12:09.506097+01:00
